pref_name,station_name,line_name,station_lat,station_lon,passenger_2017,passenger_2018,passenger_2019
埼玉県,南桜井,東武アーバンパークライン(大宮－柏),35.980445,139.807995,14881,14692,14515
神奈川県,南橋本,ＪＲ相模線,35.580147,139.35251,11044,11188,11188
千葉県,南流山,ＪＲ武蔵野線,35.83849,139.903439,138360,144008,145008
埼玉県,南浦和,ＪＲ武蔵野線,35.847679,139.669152,118062,120778,120778
東京都,南町田,東急田園都市線,35.511378,139.470767,0,0,0
東京都,南砂町,東京メトロ東西線,35.668785,139.830675,61001,61597,60969
埼玉県,南羽生,東武伊勢崎線(東武動物公園－伊勢崎),36.149979,139.556231,3853,3858,3793
千葉県,南船橋,ＪＲ京葉線(西船橋－南船橋),35.682008,139.995465,42988,45616,45616
千葉県,南行徳,東京メトロ東西線,35.672952,139.902252,54278,54692,53769
埼玉県,南越谷,ＪＲ武蔵野線,35.875984,139.791224,148382,151524,151524
神奈川県,南部市場,横浜シーサイドライン,35.380145,139.633148,2814,2796,3044
千葉県,南酒々井,ＪＲ総武本線,35.7044,140.268192,0,0,0
東京都,南阿佐ケ谷,東京メトロ丸ノ内線(池袋－荻窪),35.699444,139.635606,0,0,0
埼玉県,南鳩ケ谷,埼玉高速鉄道,35.816545,139.736231,0,0,0
千葉県,印旛日本医大,北総鉄道北総線,35.78739,140.203694,4412,4612,4813
千葉県,印西牧の原,北総鉄道北総線,35.803637,140.167001,13713,14410,15124
神奈川県,厚木,ＪＲ相模線,35.443301,139.378444,35163,68354,34015
東京都,原宿,ＪＲ山手線,35.671282,139.702907,152168,150682,150682
埼玉県,原市,ニューシャトル,35.963805,139.62215,2801,2941,3116
神奈川県,原当麻,ＪＲ相模線,35.529097,139.375246,9648,10328,10328
千葉県,原木中山,東京メトロ東西線,35.703032,139.941691,27342,27641,27467
東京都,参宮橋,小田急小田原線,35.678698,139.693574,15546,15423,14612
神奈川県,反町,東急東横線,35.474691,139.625339,13283,13634,13562
神奈川県,古淵,ＪＲ横浜線,35.555984,139.419269,45538,46036,46036
東京都,古里,ＪＲ青梅線,35.816257,139.152113,0,0,0
東京都,台場,ゆりかもめ,35.626011,139.771515,23436,24687,21421
埼玉県,吉川,ＪＲ武蔵野線,35.876541,139.843442,36164,36346,36346
埼玉県,吉川美南,ＪＲ武蔵野線,35.86807,139.858163,8324,10378,10378
東京都,吉祥寺,京王井の頭線,35.702944,139.579861,430717,435557,434271
埼玉県,吉野原,ニューシャトル,35.956917,139.620706,3529,3569,3566
